l,p,m,d,t,c
3.0,9810.0,4000.0,0.00801,272.94,1325.0
0.432,7140.0,2052.0,0.00558,207.42,4450.0
3.12,588.0,291.0,0.00993,90.6,495.0
2.0,17650.0,556.0,0.01,104.0,974.0
0.96,1785.0,539.0,0.0129,97.66,2844.0
5.37,13720.0,2268.0,0.0082,310.99,473.0
2.0,5010.0,2013.5,0.00811,164.21,2453.0
0.79,7850.0,2209.0,0.00607,242.12,2676.0
0.6,941.0,251.0,0.00999,41.81,1979.0
1.0,9810.0,2002.0,0.00799,284.9,1800.0
3.0,11760.0,1310.0,0.01001,303.76,653.0
2.0,7000.0,948.0,0.01,133.23,1888.0
0.8,827.0,202.0,0.006,28.67,837.0
3.0,6860.0,1001.0,0.00799,245.15,883.0
2.0,10000.0,475.0,0.01,107.02,1121.0
3.5,2999.0,1001.0,0.008,126.71,959.0
4.966,15690.0,2476.0,0.01,245.37,999.0
4.0,13720.0,1499.0,0.00585,57.42,886.0
1.727,7490.0,4050.0,0.00558,212.17,2460.0
3.0,17650.0,2000.0,0.00796,217.06,1226.0
1.5,2746.0,432.0,0.0131,37.25,2061.0
1.0,11760.0,743.0,0.01,104.96,2636.0
1.57,7850.0,4000.0,0.008,220.86,2585.0
3.0,7000.0,471.0,0.01001,262.43,619.0
1.5,3491.0,648.0,0.01,106.26,2044.0
1.0,9810.0,1994.4,0.0108,120.05,4442.0
5.37,11760.0,1510.0,0.0082,299.7,347.0
2.0,3010.0,1505.1,0.00811,133.52,2187.0
3.0,9900.0,1984.0,0.00781,147.12,1577.0
4.0,17650.0,2008.0,0.00803,260.24,829.0
1.0,9810.0,1513.9,0.0108,160.91,3216.0
1.219,114.0,119.3,0.0093,68.33,505.0
5.34,19610.0,1010.0,0.0082,342.82,215.0
3.0,7840.0,1493.0,0.00578,218.78,857.0
1.0,16000.0,952.0,0.01,120.64,2785.0
4.877,6893.0,3905.3,0.0102,275.7,1157.7
0.91,6895.0,2739.0,0.0128,228.97,3224.0
6.0,3000.0,2503.0,0.00798,134.49,982.0
4.0,5880.0,1499.0,0.00585,99.43,1014.0
3.0,13830.0,1056.0,0.00781,279.58,554.0
2.0,16000.0,1945.0,0.01,148.54,2430.0
3.0,9810.0,1009.0,0.00801,279.94,605.0
3.658,18692.0,2027.1,0.0134,335.04,898.6
3.0,17650.0,995.0,0.0108,259.2,705.0
3.0,15990.0,1509.0,0.00811,247.05,835.0
3.0,14710.0,995.0,0.0108,261.21,752.0
0.78,4900.0,2201.0,0.008,168.62,4170.0
0.8,7850.0,4056.0,0.00384,229.97,2834.0
3.0,7840.0,3335.0,0.00578,261.23,1092.0
1.5,2873.0,571.0,0.0131,41.68,2548.0
2.0,8000.0,1561.0,0.01,136.99,2348.0
2.511,9520.0,6995.0,0.00545,294.7,1829.1
6.0,11760.0,5003.0,0.00585,279.51,837.0
3.0,13720.0,1493.0,0.00578,118.71,965.0
0.243,500.0,4931.0,0.008,73.97,7580.0
6.0,6860.0,517.0,0.0151,219.9,559.0
3.8,14710.0,3359.0,0.0104,196.82,1860.0
2.0,2059.0,778.0,0.01,46.44,1760.0
6.0,6860.0,5003.0,0.00585,219.9,1045.0
4.018,6453.0,2190.0,0.0151,239.76,1393.0
2.44,9800.0,2190.0,0.008,219.26,1492.0
1.57,7850.0,3191.0,0.008,184.23,2818.0
2.0,11760.0,3441.0,0.00578,197.1,1895.0
3.0,14000.0,2046.0,0.01001,242.56,1175.0
3.0,6963.0,275.0,0.00998,103.67,507.0
0.79,14700.0,2209.0,0.00607,267.47,2113.0
2.0,14710.0,3441.0,0.00578,179.46,2260.0
0.96,1942.0,175.0,0.00996,37.72,1089.0
1.0,2990.0,3012.0,0.008,148.54,4260.0
3.0,7850.0,1505.6,0.0108,280.0,1031.0
2.007,7140.0,2025.0,0.00935,250.23,1890.0
10.94,9800.0,1516.0,0.00805,260.8,248.0
1.0,15700.0,2738.9,0.0108,300.75,2310.0
5.34,13720.0,2015.0,0.0082,239.79,651.0
6.0,6860.0,1010.0,0.01075,219.9,611.0
3.12,1020.0,778.0,0.00993,136.2,913.0
6.0,6860.0,1499.0,0.00585,159.37,580.0
1.57,9800.0,3185.0,0.008,178.58,2876.0
3.658,6964.0,2834.0,0.00922,227.15,1434.1
3.0,11760.0,3314.0,0.00578,117.09,1791.0
6.0,13720.0,999.0,0.00803,280.49,262.0
3.8,17660.0,827.8,0.0104,160.44,714.0
6.0,9810.0,2025.0,0.0078,272.94,430.0
3.0,6963.0,588.0,0.00998,114.83,1007.0
1.0,5880.0,1499.0,0.00581,140.32,2983.0
1.524,11029.0,1627.2,0.0141,283.67,1605.7
3.0,18000.0,2249.0,0.01001,338.23,799.0
0.8,9800.0,4991.0,0.00384,271.87,2543.0
2.5,2687.0,315.0,0.01,51.99,758.0
4.877,6893.0,2779.8,0.0102,89.48,1832.8
1.57,9800.0,1001.0,0.008,290.97,1040.0
3.0,19610.0,1052.0,0.01001,261.66,682.0
2.007,7030.0,1012.0,0.00935,277.07,1350.0
3.8,11760.0,1940.0,0.0104,294.81,709.0
0.6,2903.0,500.0,0.00999,67.93,3904.0
0.79,7850.0,2209.0,0.00607,231.91,2796.0
3.0,9810.0,4000.0,0.00801,246.66,1515.0
0.98,9829.0,3461.0,0.007,271.33,2576.0
3.0,7000.0,1658.0,0.01001,266.82,1130.0
1.84,15169.0,1339.2,0.0095,257.78,1110.56
1.0,2716.0,369.0,0.01,61.49,2014.0
2.0,12000.0,845.0,0.01,108.66,1559.0
6.0,13730.0,1001.0,0.0078,215.21,350.0
3.0,9800.0,1460.0,0.00803,278.89,732.0
2.75,3491.0,911.0,0.0131,55.69,2007.0
3.0,9810.0,500.0,0.008,219.14,564.0
6.0,14710.0,3359.0,0.00585,280.73,571.0
4.0,15690.0,1010.0,0.01075,58.09,1026.0
1.65,17650.0,4522.0,0.00795,290.36,2581.0
1.65,9800.0,4587.0,0.0078,255.72,2267.0
0.4,969.0,1515.1,0.008,26.05,5955.9
3.0,3109.0,672.0,0.0131,45.63,1471.0
6.0,13720.0,1000.0,0.0082,73.53,583.0
1.829,13790.0,2051.6,0.0113,276.51,1444.8
5.22,6790.0,671.0,0.015,236.09,722.0
1.57,17700.0,501.0,0.008,93.96,966.0
2.0,17650.0,1001.0,0.0108,301.11,719.0
1.57,14710.0,2722.0,0.00802,220.33,2350.0
0.386,200.0,300.0,0.0048,80.21,1174.0
1.0,6670.0,1057.0,0.00785,171.41,2770.0
3.0,9810.0,1000.0,0.00801,192.81,886.0
1.75,6979.0,5212.0,0.008,272.15,2245.0
3.12,2138.0,522.0,0.00394,51.66,419.0
3.0,6860.0,1001.0,0.0108,100.04,1566.0
4.966,17650.0,5345.0,0.01,338.47,1214.0
6.0,17650.0,1539.0,0.0151,301.67,619.0
2.5,2716.0,315.0,0.01,52.88,759.0
1.0,7944.0,959.0,0.00998,126.23,2891.0
4.016,6463.0,1100.0,0.0151,266.8,919.0
4.0,19610.0,4951.0,0.00585,157.21,2107.0
4.0,5880.0,4972.0,0.00585,98.24,2210.0
1.0,7100.0,1760.7,0.00601,85.54,3412.0
6.0,9810.0,2005.0,0.0078,244.55,520.0
0.864,7030.0,675.0,0.01077,278.6,2330.0
0.991,12407.0,1619.1,0.0141,243.86,2649.9
3.0,11760.0,989.0,0.0108,238.96,832.0
4.966,11760.0,1772.0,0.01,221.62,812.0
1.0,6770.0,2010.0,0.00785,200.74,3080.0
1.75,1657.0,867.0,0.0131,45.77,2462.0
0.778,7840.0,1581.0,0.00807,271.2,2460.0
1.5,1991.0,821.0,0.0131,42.67,2986.0
0.6,108.0,100.0,0.008,31.63,616.0
3.0,13730.0,1000.0,0.00801,320.91,460.0
1.0,17650.0,2017.0,0.0108,280.98,2219.0
1.57,7850.0,1001.0,0.008,275.19,1320.0
1.44,294.0,400.0,0.012,39.0,1485.0
1.219,192.0,298.3,0.0093,89.07,837.0
3.0,9810.0,1001.0,0.00799,204.95,843.0
4.0,13970.0,4028.9,0.00811,326.9,847.0
1.0,15690.0,1499.0,0.00581,219.28,1756.0
3.05,6870.0,2011.1,0.00925,250.66,1315.0
2.23,12750.0,1614.0,0.008,178.49,1409.0
6.0,9800.0,1582.0,0.011,299.79,401.0
6.0,9800.0,1023.0,0.0151,259.82,611.0
0.79,7850.0,995.0,0.008,124.7,2950.0
5.03,9800.0,1001.0,0.008,141.19,626.0
1.0,6860.0,2000.0,0.00801,145.16,3360.0
2.74,6870.0,2655.6,0.0126,247.34,1874.0
5.34,11760.0,1010.0,0.0082,270.44,322.0
1.75,2089.0,796.0,0.0131,41.26,2466.0
0.96,2442.0,1712.0,0.00996,122.06,4216.0
0.98,9829.0,2344.0,0.007,284.68,2251.0
2.0,19610.0,1493.0,0.00578,259.99,893.0
4.0,13720.0,2801.0,0.01075,300.45,837.0
6.0,7010.0,2998.6,0.00798,276.88,692.0
6.0,6860.0,2004.0,0.00803,109.07,1010.0
1.65,9800.0,3436.0,0.00782,286.88,1570.0
1.0,2971.0,991.0,0.008,208.19,2424.0
6.0,11760.0,2773.0,0.01075,260.33,801.0
1.0,7100.0,2020.1,0.00601,91.74,3655.0
1.57,7850.0,3239.0,0.008,229.97,2403.0
3.66,6870.0,4000.0,0.00921,254.98,1505.0
2.0,14000.0,1211.0,0.01,115.81,1786.0
1.0,3040.0,281.0,0.01,43.74,1564.0
1.727,7170.0,2025.0,0.01146,211.3,2650.0
3.658,1725.0,2032.4,0.0134,145.58,1842.9
5.0,6990.0,4996.9,0.00811,185.93,1812.0
4.966,19610.0,2704.0,0.01001,263.12,1094.0
1.0,308.0,199.0,0.006,25.52,599.0
4.966,12000.0,6272.0,0.01,225.27,2069.0
3.0,9810.0,2000.0,0.00801,177.53,1391.0
1.57,17700.0,974.0,0.008,272.8,878.0
2.0,1000.0,917.0,0.01,93.03,1511.0
2.0,15690.0,867.0,0.01,197.3,1107.0
1.0,9810.0,2002.0,0.00799,163.23,3240.0
0.5,11760.0,4444.0,0.00399,95.89,8113.0
2.0,14000.0,1685.0,0.01,118.43,2295.0
1.75,3011.0,791.0,0.01,105.92,1999.0
2.0,12000.0,1051.0,0.01,117.7,1759.0
1.0,9810.0,2000.0,0.00801,143.17,3270.0
3.66,6870.0,1383.3,0.0126,247.76,1150.0
0.6,1844.0,869.0,0.00999,83.21,4504.0
1.0,6860.0,2000.0,0.00801,135.07,3590.0
3.0,19610.0,498.0,0.0108,301.73,317.0
2.511,9630.0,6460.1,0.00545,282.25,1761.4
3.0,6860.0,1005.0,0.00803,255.28,843.0
2.08,3423.0,457.0,0.00776,98.82,943.0
3.8,17650.0,2700.0,0.0074,317.11,709.0
4.0,15690.0,3318.0,0.00585,219.28,1131.0
3.66,16000.0,2504.2,0.00811,246.28,1100.0
1.0,9810.0,2000.0,0.00801,77.85,4140.0
1.0,13720.0,796.0,0.01,190.14,1873.0
1.8,13790.0,1356.0,0.0105,301.5,946.0
2.0,14000.0,2405.0,0.01,129.58,2976.0
1.008,10100.0,4000.0,0.00775,222.09,3520.0
4.0,5880.0,3328.0,0.00585,99.91,1674.0
3.49,14710.0,999.0,0.008,305.27,394.0
1.73,6870.0,4138.9,0.00951,219.14,2580.0
1.5,3040.0,1485.0,0.00393,68.88,1833.0
2.0,7840.0,2004.0,0.00795,139.9,2302.0
4.966,19610.0,643.0,0.01001,345.78,176.0
6.0,17650.0,1999.0,0.00803,281.97,520.0
4.966,19610.0,809.0,0.01001,262.71,367.0
0.914,10343.0,1356.0,0.0128,217.99,2713.0
0.78,7850.0,1599.0,0.008,136.72,3683.0
0.792,9800.0,4003.0,0.00607,214.19,3761.0
1.5,2403.0,298.0,0.0131,29.34,1497.0
3.8,19610.0,769.0,0.0104,152.05,709.0
0.78,9800.0,4988.0,0.008,264.89,3318.0
1.0,13720.0,2014.0,0.00805,281.66,1721.0
1.57,9800.0,5006.0,0.008,220.14,3225.0
3.0,9800.0,3335.0,0.00578,37.4,2221.0
1.0,13730.0,4000.0,0.00796,282.7,2890.0
4.017,4992.0,2240.0,0.0151,246.18,1482.0
7.0,17650.0,1008.0,0.0078,117.13,447.0
0.8,9800.0,3912.0,0.00384,234.46,2699.0
4.0,15690.0,3318.0,0.00585,322.06,611.0
1.57,7850.0,1053.0,0.008,163.09,1901.0
0.61,116.0,119.3,0.0093,71.46,730.0
5.34,19610.0,1500.0,0.0082,332.84,339.0
2.0,13720.0,1495.0,0.00795,57.42,2058.0
5.37,13720.0,1505.0,0.0082,137.89,752.0
0.91,10343.0,2698.0,0.00622,149.87,3918.0
10.94,13720.0,1508.0,0.00805,197.8,322.0
6.0,11760.0,5003.0,0.00585,259.3,940.0
3.0,14710.0,1493.0,0.00578,179.46,790.0
1.0,14808.0,3451.1,0.008,292.24,2540.6
5.34,19610.0,1010.0,0.0082,302.85,296.0
3.048,7067.1,957.5,0.00932,260.18,886.478
4.0,15690.0,2749.0,0.01075,300.86,962.0
5.34,17650.0,1010.0,0.0082,260.24,361.0
2.0,9800.0,5019.0,0.00578,97.83,3605.0
5.0,11760.0,2039.0,0.01075,279.51,664.0
1.04,2138.0,939.0,0.00394,60.27,1771.0
3.8,11790.0,608.3,0.0104,170.17,710.0
3.66,13990.0,506.7,0.00811,236.04,361.0
1.549,7840.0,3958.0,0.00384,260.22,1580.0
0.78,7850.0,1594.0,0.008,148.91,3567.0
3.0,14710.0,1000.0,0.00787,300.05,486.0
3.66,9980.0,1999.7,0.00811,300.85,632.0
1.0,17650.0,1499.0,0.00581,218.17,1775.0
3.0,5880.0,1996.0,0.0108,260.68,1407.0
1.0,13720.0,478.0,0.01,100.6,1732.0
0.393,490.0,4732.0,0.008,67.46,7203.0
1.8,9810.0,2805.6,0.0048,232.41,1280.0
6.0,5880.0,1010.0,0.01075,260.28,548.0
7.0,17650.0,2772.0,0.0078,261.28,677.0
1.2,294.0,300.0,0.012,60.0,1320.0
4.0,14020.0,2532.2,0.00811,326.91,517.0
3.0,13720.0,2041.0,0.00803,300.99,690.0
1.75,971.0,776.0,0.01,85.51,1515.0
2.0,9800.0,3176.0,0.00578,280.43,1280.0
0.243,480.0,4011.0,0.008,72.16,8439.0
1.75,3305.0,986.0,0.0131,51.67,2979.0
3.0,1363.0,877.0,0.0131,45.66,1496.0
3.0,13730.0,2000.0,0.00801,149.97,1400.0
2.0,3010.0,1998.5,0.00811,133.28,2583.0
1.0,7100.0,456.8,0.00785,59.68,1956.0
1.0,6860.0,4000.0,0.00796,83.1,6660.0
3.8,14710.0,2211.1,0.0104,299.5,744.0
3.0,5010.0,1254.8,0.00811,253.59,984.0
1.0,904.0,99.0,0.008,70.62,435.0
0.91,10343.0,2685.0,0.00622,207.13,3309.0
3.658,15642.0,2044.2,0.0134,276.77,1084.6
1.75,2932.0,711.0,0.0131,45.57,2422.0
6.0,12750.0,2190.0,0.011,310.68,447.0
1.002,9810.0,502.0,0.00801,63.7,1870.0
5.0,9800.0,5003.0,0.00585,178.58,1395.0
3.0,11760.0,1514.0,0.0108,217.43,1166.0
4.0,9800.0,2030.0,0.01075,298.91,710.0
3.0,19620.0,1000.0,0.0108,320.74,484.0
3.12,785.0,744.0,0.00776,127.58,577.0
3.0,9900.0,4000.0,0.00782,224.36,1696.0
2.08,1314.0,640.0,0.00776,119.58,1000.0
0.6,216.0,246.0,0.0101,42.01,1414.0
1.0,6860.0,2013.0,0.008,149.13,3340.0
3.0,13630.0,1027.0,0.00781,126.67,958.0
2.0,10010.0,1250.9,0.00811,300.91,878.0
2.0,13720.0,3441.0,0.00578,36.94,3384.0
3.0,13970.0,3018.6,0.00811,326.9,739.0
2.0,12000.0,406.0,0.01,103.18,949.0
2.0,8000.0,5025.0,0.01,223.95,2753.0
2.0,17650.0,3441.0,0.00578,97.06,3198.0
1.5,6963.0,275.0,0.00998,91.76,1036.0
6.0,13930.0,1982.0,0.00771,256.11,520.0
2.0,17650.0,1001.0,0.0108,280.98,817.0
6.0,7160.0,3979.0,0.00778,95.09,1680.0
1.5,3040.0,1748.0,0.00393,86.78,2076.0
3.8,19620.0,2219.4,0.0104,268.19,1100.0
2.0,17650.0,1083.0,0.0108,280.39,864.0
0.79,4900.0,983.0,0.008,195.0,3126.0
0.991,11029.0,2034.0,0.0141,245.97,2889.6
7.0,17650.0,1502.0,0.0078,322.14,256.0
2.0,11760.0,397.0,0.01,98.04,930.0
0.778,7840.0,2205.0,0.00807,123.88,4600.0
1.57,12750.0,2195.0,0.008,249.92,1636.0
1.0,6860.0,1993.0,0.0108,241.16,2936.0
1.73,6870.0,2130.6,0.00951,174.71,2618.0
2.0,18000.0,721.0,0.01,150.68,1062.0
0.393,1510.0,4810.0,0.008,78.04,8670.0
1.0,6860.0,1523.0,0.0108,119.03,3721.0
1.829,10363.0,682.1,0.0113,252.05,1072.6
3.66,16000.0,1002.9,0.00811,247.77,538.0
2.0,1285.0,756.0,0.0131,44.2,2034.0
1.5,7100.0,3580.0,0.00393,66.87,3120.0
2.0,5880.0,1495.0,0.0108,199.35,2221.0
1.0,9710.0,2004.0,0.00785,188.65,2900.0
0.393,2620.0,4682.0,0.008,107.72,8687.0
2.0,11760.0,3441.0,0.00578,238.96,1559.0
0.79,14700.0,7462.0,0.00607,290.87,4525.0
0.78,2940.0,3260.0,0.008,212.21,4238.0
5.0,19610.0,3359.0,0.00585,301.73,694.0
2.0,7840.0,1493.0,0.00578,198.59,1354.0
2.438,6893.0,2779.8,0.0102,127.46,2807.6
0.393,1520.0,4870.0,0.008,105.73,7586.0
5.03,14700.0,2709.0,0.008,240.71,886.0
3.0,11760.0,3314.0,0.00578,279.51,914.0
3.658,8673.0,2035.8,0.0134,233.77,1467.9
6.0,5880.0,499.0,0.01075,200.91,411.0
2.5,2383.0,478.0,0.01,85.55,1039.0
3.048,18029.8,4242.3,0.00932,298.45,1898.424
1.0,405.0,99.0,0.006,59.78,318.0
6.0,9810.0,4008.0,0.0078,264.77,970.0
4.966,14000.0,3717.0,0.01,235.26,1392.0
2.0,14710.0,1493.0,0.00578,117.56,1354.0
6.0,12750.0,980.0,0.011,188.79,532.0
2.6,11790.0,4000.0,0.0051,255.22,1175.0
5.22,6750.0,674.0,0.015,238.83,719.0
2.0,13720.0,835.0,0.01,107.05,1465.0
2.0,19610.0,619.0,0.01,108.63,912.0
0.96,1785.0,1095.0,0.00996,112.13,3526.0
4.0,7840.0,4972.0,0.00585,97.76,2181.0
1.0,6860.0,503.0,0.008,138.13,1990.0
1.57,14700.0,3978.0,0.008,311.31,1773.0
3.0,9810.0,500.0,0.00801,160.22,616.0
2.08,1687.0,531.0,0.00776,115.32,967.0
3.0,15690.0,995.0,0.0108,280.71,675.0
1.57,7850.0,3239.0,0.008,250.07,2153.0
2.0,17700.0,4979.0,0.008,341.92,1755.0
2.0,1765.0,433.0,0.0131,34.73,1463.0
0.6,2540.0,416.0,0.00999,54.39,3448.0
2.0,13720.0,2004.0,0.00795,197.86,1721.0
3.12,2687.0,846.0,0.00394,57.74,645.0
3.8,9800.0,5529.0,0.0074,293.89,1174.0
1.84,15169.0,4117.5,0.0095,286.11,2284.22
0.79,7850.0,2199.0,0.00607,285.09,2206.0
1.0,12000.0,462.0,0.01,101.99,1887.0
2.6,14710.0,1426.0,0.0077,275.6,755.0
1.6,14700.0,3202.0,0.008,301.07,1556.0
3.0,6963.0,1892.0,0.00998,132.78,2019.0
1.0,14710.0,1499.0,0.00581,218.78,1718.0
0.78,14700.0,1597.0,0.008,321.25,1257.0
0.318,13720.0,4264.0,0.00475,302.96,4005.0
1.44,294.0,500.0,0.012,60.0,1650.0
2.0,1138.0,776.0,0.0131,41.72,2024.0
0.68,101.3,140.7,0.006,27.8,591.0
1.0,667.0,538.0,0.01,69.28,1980.0
1.73,6870.0,4055.6,0.00951,214.97,2710.0
1.93,6895.0,1925.5,0.0128,73.96,3375.4
5.0,6860.0,1499.0,0.00585,260.16,497.0
3.0,9810.0,1033.0,0.00781,218.26,845.0
3.048,6964.0,5491.8,0.00953,234.45,2063.1
1.0,15690.0,917.0,0.01,120.39,2699.0
2.08,726.0,620.0,0.00993,83.07,1093.0
3.0,6860.0,1001.0,0.0108,140.24,1435.0
0.99,6860.0,1007.0,0.008,220.99,2160.0
1.0,9810.0,1001.0,0.00799,143.17,2470.0
3.0,1275.0,879.0,0.0131,44.78,1488.0
1.57,7840.0,1612.0,0.00802,265.05,1600.0
0.991,100.0,271.8,0.004,21.08,568.0
5.34,11760.0,2299.0,0.0082,298.8,490.0
6.0,16010.0,1504.8,0.00798,247.0,467.0
2.0,12000.0,1575.0,0.01,123.87,2176.0
2.0,9800.0,2004.0,0.00795,158.26,1965.0
6.0,14710.0,1418.0,0.0151,239.72,703.0
2.0,3040.0,1100.0,0.01,39.43,2516.0
1.5,5100.0,3287.6,0.00393,70.4,3145.0
6.0,9800.0,988.0,0.011,249.71,472.0
4.966,10000.0,2638.0,0.01,215.43,1164.0
2.0,10000.0,3325.0,0.01,220.06,2408.0
3.0,11760.0,2014.0,0.00803,281.64,839.0
3.5,4005.0,4035.0,0.008,176.87,1966.0
2.0,9800.0,973.0,0.01,113.55,1782.0
2.23,17700.0,1620.0,0.008,260.27,1062.0
3.49,14710.0,2004.0,0.008,256.02,845.0
0.914,10343.0,1912.0,0.0128,276.49,2217.7
