m,m.1,kPa,Â°C,kg m-2s-1,kW m-2
0.0108,1,9810,160.91,1513.9,3216
0.0093,1.219,114,68.33,119.3,505
0.0082,5.34,19610,342.82,1010,215
0.00578,3,7840,218.78,1493,857
0.01,1,16000,120.64,952,2785
0.0102,4.877,6893,275.7,3905.3,1157.7
0.0128,0.91,6895,228.97,2739,3224
0.00798,6,3000,134.49,2503,982
0.00585,4,5880,99.43,1499,1014
0.00781,3,13830,279.58,1056,554
0.01,2,16000,148.54,1945,2430
0.00801,3,9810,279.94,1009,605
0.0134,3.658,18692,335.04,2027.1,898.6
0.0108,3,17650,259.2,995,705
0.00811,3,15990,247.05,1509,835
0.0108,3,14710,261.21,995,752
0.008,0.78,4900,168.62,2201,4170
0.00384,0.8,7850,229.97,4056,2834
0.00578,3,7840,261.23,3335,1092
0.0131,1.5,2873,41.68,571,2548
0.01,2,8000,136.99,1561,2348
0.00545,2.511,9520,294.7,6995,1829.1
0.00585,6,11760,279.51,5003,837
0.00578,3,13720,118.71,1493,965
0.008,0.243,500,73.97,4931,7580
0.0151,6,6860,219.9,517,559
0.0104,3.8,14710,196.82,3359,1860
0.01,2,2059,46.44,778,1760
0.00585,6,6860,219.9,5003,1045
0.0151,4.018,6453,239.76,2190,1393
0.008,2.44,9800,219.26,2190,1492
0.008,1.57,7850,184.23,3191,2818
0.00578,2,11760,197.1,3441,1895
0.01001,3,14000,242.56,2046,1175
0.00998,3,6963,103.67,275,507
0.00607,0.79,14700,267.47,2209,2113
0.00578,2,14710,179.46,3441,2260
0.00996,0.96,1942,37.72,175,1089
0.008,1,2990,148.54,3012,4260
0.0108,3,7850,280,1505.6,1031
0.00935,2.007,7140,250.23,2025,1890
0.00805,10.94,9800,260.8,1516,248
0.0108,1,15700,300.75,2738.9,2310
0.0082,5.34,13720,239.79,2015,651
0.01075,6,6860,219.9,1010,611
0.00993,3.12,1020,136.2,778,913
0.00585,6,6860,159.37,1499,580
0.008,1.57,9800,178.58,3185,2876
0.00922,3.658,6964,227.15,2834,1434.1
0.00578,3,11760,117.09,3314,1791
0.00803,6,13720,280.49,999,262
0.0104,3.8,17660,160.44,827.8,714
0.0078,6,9810,272.94,2025,430
0.00998,3,6963,114.83,588,1007
0.00581,1,5880,140.32,1499,2983
0.0141,1.524,11029,283.67,1627.2,1605.7
0.01001,3,18000,338.23,2249,799
0.00384,0.8,9800,271.87,4991,2543
0.01,2.5,2687,51.99,315,758
0.0102,4.877,6893,89.48,2779.8,1832.8
0.008,1.57,9800,290.97,1001,1040
0.01001,3,19610,261.66,1052,682
0.00935,2.007,7030,277.07,1012,1350
0.0104,3.8,11760,294.81,1940,709
0.00999,0.6,2903,67.93,500,3904
0.00607,0.79,7850,231.91,2209,2796
0.00801,3,9810,246.66,4000,1515
0.007,0.98,9829,271.33,3461,2576
0.01001,3,7000,266.82,1658,1130
0.0095,1.84,15169,257.78,1339.2,1110.56
0.01,1,2716,61.49,369,2014
0.01,2,12000,108.66,845,1559
0.0078,6,13730,215.21,1001,350
0.00803,3,9800,278.89,1460,732
0.0131,2.75,3491,55.69,911,2007
0.008,3,9810,219.14,500,564
0.00585,6,14710,280.73,3359,571
0.01075,4,15690,58.09,1010,1026
0.00795,1.65,17650,290.36,4522,2581
0.0078,1.65,9800,255.72,4587,2267
0.008,0.4,969,26.05,1515.1,5955.9
0.0131,3,3109,45.63,672,1471
0.0082,6,13720,73.53,1000,583
0.0113,1.829,13790,276.51,2051.6,1444.8
0.015,5.22,6790,236.09,671,722
0.008,1.57,17700,93.96,501,966
0.0108,2,17650,301.11,1001,719
0.00802,1.57,14710,220.33,2722,2350
0.0048,0.386,200,80.21,300,1174
0.00785,1,6670,171.41,1057,2770
0.00801,3,9810,192.81,1000,886
0.008,1.75,6979,272.15,5212,2245
0.00394,3.12,2138,51.66,522,419
0.0108,3,6860,100.04,1001,1566
0.01,4.966,17650,338.47,5345,1214
0.0151,6,17650,301.67,1539,619
0.01,2.5,2716,52.88,315,759
0.00998,1,7944,126.23,959,2891
0.0151,4.016,6463,266.8,1100,919
0.00585,4,19610,157.21,4951,2107
0.00585,4,5880,98.24,4972,2210
0.00601,1,7100,85.54,1760.7,3412
0.0078,6,9810,244.55,2005,520
0.01077,0.864,7030,278.6,675,2330
0.0141,0.991,12407,243.86,1619.1,2649.9
0.0108,3,11760,238.96,989,832
0.01,4.966,11760,221.62,1772,812
0.00785,1,6770,200.74,2010,3080
0.0131,1.75,1657,45.77,867,2462
0.00807,0.778,7840,271.2,1581,2460
0.0131,1.5,1991,42.67,821,2986
0.008,0.6,108,31.63,100,616
0.00801,3,13730,320.91,1000,460
0.0108,1,17650,280.98,2017,2219
0.008,1.57,7850,275.19,1001,1320
0.012,1.44,294,39,400,1485
0.0093,1.219,192,89.07,298.3,837
0.00799,3,9810,204.95,1001,843
0.00811,4,13970,326.9,4028.9,847
0.00581,1,15690,219.28,1499,1756
0.00925,3.05,6870,250.66,2011.1,1315
0.008,2.23,12750,178.49,1614,1409
0.011,6,9800,299.79,1582,401
0.0151,6,9800,259.82,1023,611
0.008,0.79,7850,124.7,995,2950
0.008,5.03,9800,141.19,1001,626
0.00801,1,6860,145.16,2000,3360
0.0126,2.74,6870,247.34,2655.6,1874
0.0082,5.34,11760,270.44,1010,322
0.0131,1.75,2089,41.26,796,2466
0.00996,0.96,2442,122.06,1712,4216
0.007,0.98,9829,284.68,2344,2251
0.00578,2,19610,259.99,1493,893
0.01075,4,13720,300.45,2801,837
0.00798,6,7010,276.88,2998.6,692
0.00803,6,6860,109.07,2004,1010
0.00782,1.65,9800,286.88,3436,1570
0.008,1,2971,208.19,991,2424
0.01075,6,11760,260.33,2773,801
0.00601,1,7100,91.74,2020.1,3655
0.008,1.57,7850,229.97,3239,2403
0.00921,3.66,6870,254.98,4000,1505
0.01,2,14000,115.81,1211,1786
0.01,1,3040,43.74,281,1564
0.01146,1.727,7170,211.3,2025,2650
0.0134,3.658,1725,145.58,2032.4,1842.9
0.00811,5,6990,185.93,4996.9,1812
0.01001,4.966,19610,263.12,2704,1094
0.006,1,308,25.52,199,599
0.01,4.966,12000,225.27,6272,2069
0.00801,3,9810,177.53,2000,1391
0.008,1.57,17700,272.8,974,878
0.01,2,1000,93.03,917,1511
0.01,2,15690,197.3,867,1107
0.00799,1,9810,163.23,2002,3240
0.00399,0.5,11760,95.89,4444,8113
0.01,2,14000,118.43,1685,2295
0.01,1.75,3011,105.92,791,1999
0.01,2,12000,117.7,1051,1759
0.00801,1,9810,143.17,2000,3270
0.0126,3.66,6870,247.76,1383.3,1150
0.00999,0.6,1844,83.21,869,4504
0.00801,1,6860,135.07,2000,3590
0.0108,3,19610,301.73,498,317
0.00545,2.511,9630,282.25,6460.1,1761.4
0.00803,3,6860,255.28,1005,843
0.00776,2.08,3423,98.82,457,943
0.0074,3.8,17650,317.11,2700,709
0.00585,4,15690,219.28,3318,1131
0.00811,3.66,16000,246.28,2504.2,1100
0.00801,1,9810,77.85,2000,4140
0.01,1,13720,190.14,796,1873
0.0105,1.8,13790,301.5,1356,946
0.01,2,14000,129.58,2405,2976
0.00775,1.008,10100,222.09,4000,3520
0.00585,4,5880,99.91,3328,1674
0.008,3.49,14710,305.27,999,394
0.00951,1.73,6870,219.14,4138.9,2580
0.00393,1.5,3040,68.88,1485,1833
0.00795,2,7840,139.9,2004,2302
0.01001,4.966,19610,345.78,643,176
0.00803,6,17650,281.97,1999,520
0.01001,4.966,19610,262.71,809,367
0.0128,0.914,10343,217.99,1356,2713
0.008,0.78,7850,136.72,1599,3683
0.00607,0.792,9800,214.19,4003,3761
0.0131,1.5,2403,29.34,298,1497
0.0104,3.8,19610,152.05,769,709
0.008,0.78,9800,264.89,4988,3318
0.00805,1,13720,281.66,2014,1721
0.008,1.57,9800,220.14,5006,3225
0.00578,3,9800,37.4,3335,2221
0.00796,1,13730,282.7,4000,2890
0.0151,4.017,4992,246.18,2240,1482
0.0078,7,17650,117.13,1008,447
0.00384,0.8,9800,234.46,3912,2699
0.00585,4,15690,322.06,3318,611
0.008,1.57,7850,163.09,1053,1901
0.0093,0.61,116,71.46,119.3,730
0.0082,5.34,19610,332.84,1500,339
0.00795,2,13720,57.42,1495,2058
0.0082,5.37,13720,137.89,1505,752
0.00622,0.91,10343,149.87,2698,3918
0.00805,10.94,13720,197.8,1508,322
0.00585,6,11760,259.3,5003,940
0.00578,3,14710,179.46,1493,790
0.008,1,14808,292.24,3451.1,2540.6
0.0082,5.34,19610,302.85,1010,296
0.00932,3.048,7067.1,260.18,957.5,886.478
0.01075,4,15690,300.86,2749,962
0.0082,5.34,17650,260.24,1010,361
0.00578,2,9800,97.83,5019,3605
0.01075,5,11760,279.51,2039,664
0.00394,1.04,2138,60.27,939,1771
0.0104,3.8,11790,170.17,608.3,710
0.00811,3.66,13990,236.04,506.7,361
0.00384,1.549,7840,260.22,3958,1580
0.008,0.78,7850,148.91,1594,3567
0.00787,3,14710,300.05,1000,486
0.00811,3.66,9980,300.85,1999.7,632
0.00581,1,17650,218.17,1499,1775
0.0108,3,5880,260.68,1996,1407
0.01,1,13720,100.6,478,1732
0.008,0.393,490,67.46,4732,7203
0.0048,1.8,9810,232.41,2805.6,1280
0.01075,6,5880,260.28,1010,548
0.0078,7,17650,261.28,2772,677
0.012,1.2,294,60,300,1320
0.00811,4,14020,326.91,2532.2,517
0.00803,3,13720,300.99,2041,690
0.01,1.75,971,85.51,776,1515
0.00578,2,9800,280.43,3176,1280
0.008,0.243,480,72.16,4011,8439
0.0131,1.75,3305,51.67,986,2979
0.0131,3,1363,45.66,877,1496
0.00801,3,13730,149.97,2000,1400
0.00811,2,3010,133.28,1998.5,2583
0.00785,1,7100,59.68,456.8,1956
0.00796,1,6860,83.1,4000,6660
0.0104,3.8,14710,299.5,2211.1,744
0.00811,3,5010,253.59,1254.8,984
0.008,1,904,70.62,99,435
0.00622,0.91,10343,207.13,2685,3309
0.0134,3.658,15642,276.77,2044.2,1084.6
0.0131,1.75,2932,45.57,711,2422
0.011,6,12750,310.68,2190,447
0.00801,1.002,9810,63.7,502,1870
0.00585,5,9800,178.58,5003,1395
0.0108,3,11760,217.43,1514,1166
0.01075,4,9800,298.91,2030,710
0.0108,3,19620,320.74,1000,484
0.00776,3.12,785,127.58,744,577
0.00782,3,9900,224.36,4000,1696
0.00776,2.08,1314,119.58,640,1000
0.0101,0.6,216,42.01,246,1414
0.008,1,6860,149.13,2013,3340
0.00781,3,13630,126.67,1027,958
0.00811,2,10010,300.91,1250.9,878
0.00578,2,13720,36.94,3441,3384
0.00811,3,13970,326.9,3018.6,739
0.01,2,12000,103.18,406,949
0.01,2,8000,223.95,5025,2753
0.00578,2,17650,97.06,3441,3198
0.00998,1.5,6963,91.76,275,1036
0.00771,6,13930,256.11,1982,520
0.0108,2,17650,280.98,1001,817
0.00778,6,7160,95.09,3979,1680
0.00393,1.5,3040,86.78,1748,2076
0.0104,3.8,19620,268.19,2219.4,1100
0.0108,2,17650,280.39,1083,864
0.008,0.79,4900,195,983,3126
0.0141,0.991,11029,245.97,2034,2889.6
0.0078,7,17650,322.14,1502,256
0.01,2,11760,98.04,397,930
0.00807,0.778,7840,123.88,2205,4600
0.008,1.57,12750,249.92,2195,1636
0.0108,1,6860,241.16,1993,2936
0.00951,1.73,6870,174.71,2130.6,2618
0.01,2,18000,150.68,721,1062
0.008,0.393,1510,78.04,4810,8670
0.0108,1,6860,119.03,1523,3721
0.0113,1.829,10363,252.05,682.1,1072.6
0.00811,3.66,16000,247.77,1002.9,538
0.0131,2,1285,44.2,756,2034
0.00393,1.5,7100,66.87,3580,3120
0.0108,2,5880,199.35,1495,2221
0.00785,1,9710,188.65,2004,2900
0.008,0.393,2620,107.72,4682,8687
0.00578,2,11760,238.96,3441,1559
0.00607,0.79,14700,290.87,7462,4525
0.008,0.78,2940,212.21,3260,4238
0.00585,5,19610,301.73,3359,694
0.00578,2,7840,198.59,1493,1354
0.0102,2.438,6893,127.46,2779.8,2807.6
0.008,0.393,1520,105.73,4870,7586
0.008,5.03,14700,240.71,2709,886
0.00578,3,11760,279.51,3314,914
0.0134,3.658,8673,233.77,2035.8,1467.9
0.01075,6,5880,200.91,499,411
0.01,2.5,2383,85.55,478,1039
0.00932,3.048,18029.8,298.45,4242.3,1898.424
0.006,1,405,59.78,99,318
0.0078,6,9810,264.77,4008,970
0.01,4.966,14000,235.26,3717,1392
0.00578,2,14710,117.56,1493,1354
0.011,6,12750,188.79,980,532
0.0051,2.6,11790,255.22,4000,1175
0.015,5.22,6750,238.83,674,719
0.01,2,13720,107.05,835,1465
0.01,2,19610,108.63,619,912
0.00996,0.96,1785,112.13,1095,3526
0.00585,4,7840,97.76,4972,2181
0.008,1,6860,138.13,503,1990
0.008,1.57,14700,311.31,3978,1773
0.00801,3,9810,160.22,500,616
0.00776,2.08,1687,115.32,531,967
0.0108,3,15690,280.71,995,675
0.008,1.57,7850,250.07,3239,2153
0.008,2,17700,341.92,4979,1755
0.0131,2,1765,34.73,433,1463
0.00999,0.6,2540,54.39,416,3448
0.00795,2,13720,197.86,2004,1721
0.00394,3.12,2687,57.74,846,645
0.0074,3.8,9800,293.89,5529,1174
0.0095,1.84,15169,286.11,4117.5,2284.22
0.00607,0.79,7850,285.09,2199,2206
0.01,1,12000,101.99,462,1887
0.0077,2.6,14710,275.6,1426,755
0.008,1.6,14700,301.07,3202,1556
0.00998,3,6963,132.78,1892,2019
0.00581,1,14710,218.78,1499,1718
0.008,0.78,14700,321.25,1597,1257
0.00475,0.318,13720,302.96,4264,4005
0.012,1.44,294,60,500,1650
0.0131,2,1138,41.72,776,2024
0.006,0.68,101.3,27.8,140.7,591
0.01,1,667,69.28,538,1980
0.00951,1.73,6870,214.97,4055.6,2710
0.0128,1.93,6895,73.96,1925.5,3375.4
0.00585,5,6860,260.16,1499,497
0.00781,3,9810,218.26,1033,845
0.00953,3.048,6964,234.45,5491.8,2063.1
0.01,1,15690,120.39,917,2699
0.00993,2.08,726,83.07,620,1093
0.0108,3,6860,140.24,1001,1435
0.008,0.99,6860,220.99,1007,2160
0.00799,1,9810,143.17,1001,2470
0.0131,3,1275,44.78,879,1488
0.00802,1.57,7840,265.05,1612,1600
0.004,0.991,100,21.08,271.8,568
0.0082,5.34,11760,298.8,2299,490
0.00798,6,16010,247,1504.8,467
0.01,2,12000,123.87,1575,2176
0.00795,2,9800,158.26,2004,1965
0.0151,6,14710,239.72,1418,703
0.01,2,3040,39.43,1100,2516
0.00393,1.5,5100,70.4,3287.6,3145
0.011,6,9800,249.71,988,472
0.01,4.966,10000,215.43,2638,1164
0.01,2,10000,220.06,3325,2408
0.00803,3,11760,281.64,2014,839
0.008,3.5,4005,176.87,4035,1966
0.01,2,9800,113.55,973,1782
0.008,2.23,17700,260.27,1620,1062
0.008,3.49,14710,256.02,2004,845
0.0128,0.914,10343,276.49,1912,2217.7
0.0104,3.8,9810,218.26,894.4,756
0.01,1,12000,132.86,1411,3325
0.01001,3,11760,225.56,2623,1444
0.0126,4.877,6645,241.94,1322.2,933.1
0.00607,0.79,14700,214.26,2708,3200
0.00811,1,7010,275.72,1002.3,2119
0.00801,3,13730,192.73,501,474
0.00585,6,13720,178.46,3380,848
0.0082,5.34,19610,198.14,1500,668
0.00585,4,19610,176.56,1499,673
0.00785,1,3040,56.91,1097,3678
0.00805,1,13720,260.19,1507,1732
0.01,0.35,2080,43.5,1909.9,7330
0.00811,2,14010,325.8,1003.6,581
0.00998,1.5,6963,146.16,2582,3488
0.008,1.57,14700,312.16,4973,2127
0.008,1.6,14700,224.43,3191,2577
0.0128,1.93,6895,227.89,2766.2,2407
0.00801,3,9810,283,3987,1334
0.008,1.57,7850,154.97,1601,2340
0.0108,2,13720,178.92,1511,1756
0.00581,1,17650,260.24,5030,4025
0.0104,3.8,19610,342.82,2283,709
0.00999,0.6,1775,96.18,1149,4876
0.00782,0.25,6860,99.09,1504,7937
0.008,3.5,3008,142.14,3023,1734
0.008,0.393,1930,121.01,4795,7650
0.00785,3,17650,217.06,1120,733
0.00578,2,13720,117.76,1493,1386
0.0104,3.8,17650,238.79,1286,744
0.00796,1,9810,177.53,4000,4720
0.0108,3,14710,280.73,995,669
0.008,1.57,7850,163.09,1001,1849
0.008,1.75,9971,274.14,6380,2411
0.008,1.57,4900,199.93,4005,3220
0.008,1,13730,139.87,1997,3590
0.01075,5,9800,298.91,1010,433
0.01,4.966,18000,336.66,3119,730
0.00811,3,4980,163.55,1500.7,1456
0.0082,6,9800,303.79,2757,517
0.0082,5.37,14710,300.05,1500,409
0.00581,1,14710,198.86,3353,3635
0.00811,3,12000,314.27,1254.4,484
0.01075,6,11760,259.3,995,387
0.00578,3,7840,280.09,1493,696
0.008,1.57,7850,285.09,1537,1437
0.01075,6,19610,301.17,992,318
0.00578,3,14710,260.17,5029,1660
0.00578,3,15690,260.3,4997,1782
0.00581,1,5880,159.44,3353,3712
0.01,1.5,1961,129.86,1244,2528
0.00999,0.6,883,75.55,709,3903
0.008,1.57,4900,130.43,1595,2840
0.01,2,11760,229.69,4100,2797
0.00585,4,6860,180.08,3328,1300
0.008,0.99,6860,164.23,1012,2500
0.01,1,2932,124.16,952,3479
0.006,1,204,38.72,198,551
0.0082,5.34,15690,331.28,1999,361
0.008,5.03,14700,263.39,3207,910
0.008,2.54,17700,237.74,1606,1026
0.00781,3,9610,257.71,4015,1505
0.0104,3.8,17650,276.8,3359,1465
0.0112,3.66,10446,265.67,6495,2050
0.00805,15,17650,322.1,1986,180
0.00782,0.25,11760,178.65,1990,6422
0.0101,0.6,314,39.83,141,1187
0.0108,3,11760,319.48,1996,746
0.00581,1,13720,219.33,1499,1711
0.00781,3,17550,259.36,1984,1039
0.0151,6,17650,198.62,519,427
0.006,0.68,101.3,28.5,74.2,357
0.008,1.6,14700,270.51,3994,2420
0.008,1.75,10085,234.83,5186,2882
0.0108,3,7850,259.51,1994.4,1350
0.01,1,16000,194.61,792,1686
0.008,2.51,2940,191.99,996,1139
0.00578,3,15690,138.63,1493,893
0.00805,10.94,17650,302.2,2036,291
0.00796,3,13730,119.76,2000,1573
0.0104,3.8,19610,249.64,3303,1721
0.00811,3.66,18030,256.96,1517.2,716
0.00932,3.048,7274,249.14,4124.3,1853.659
0.00803,4,11760,319.48,1992,430
0.0082,5.34,19610,117.7,1500,846
0.01001,3,9800,207.76,1162,1085
0.00578,3,7840,240.96,5029,1861
0.0152,2.456,5070,198.46,1510,2106
0.0128,1.93,5270,205.02,1356,2362
0.00801,3,17650,299.63,4060,1623
0.01,2,2667,155.93,1887,2498
0.00601,1,1128,59.25,540,1721
0.00811,3,2990,223.83,3002.8,1453
0.00607,0.79,9800,143.07,2708,4134
0.0068,1.2,7850,275,3916.7,2186
0.01,1,1804,55.76,279,1519
0.0106,0.76,6902,111.96,1451,4543
0.008,1.57,7850,275.19,1606,1540
0.00801,3,13730,208.07,2000,1122
0.01075,6,9800,158.26,1528,840
0.006,0.3,101.3,13,143.2,1336
0.00799,1,6860,184.64,2002,3150
0.00795,2,11760,56.56,2004,2640
0.0131,1.75,3334,32.33,332,1459
0.0108,1,14710,239.29,1520,2136
0.01,1,14000,199.19,2107,3392
0.008,3,17550,336.13,2000,653
0.00578,3,15690,157.89,5029,2605
0.00811,3.66,3010,223.78,1009.6,735
0.00799,1,13730,287.7,1012,1300
0.0134,3.658,15594,320.28,2043.4,832.4
0.00607,0.792,9800,289.86,2659,2010
0.01001,3,13720,240.86,5274,2720
0.0077,2.1,13720,271.98,1522,930
0.01,4.966,15690,326.93,2897,674
0.00805,10.94,9800,218.1,1516,295
0.00996,0.96,912,40.41,183,1057
0.00578,3,5880,159.44,4997,2326
0.007,0.98,6992,278.04,2469,2503
0.011,6,9800,269.88,2296,715
0.008,3.49,9810,244.55,2004,998
0.008,1.57,12750,291.59,4000,1851
0.0141,1.524,11029,297.58,2028.6,1504.7
0.00799,1,13730,214.32,2008,2740
0.01,2.25,941,72.66,528,1036
0.00803,6,13720,325.62,1997,295
0.007,0.56,6941,261.21,2411,3510
0.0129,0.96,1491,83.6,411,2432
0.00785,1,17550,287.21,1987,1900
0.008,1.57,9800,207.09,996,1480
0.008,0.78,7850,242.12,3912,3328
0.0131,2.75,1549,53.3,1157,2030
0.01,2,16000,150.42,2045,2500
0.00801,3,13730,83.46,2000,1714
0.01001,4.966,19610,346.7,774,200
0.00781,3,9810,280.9,2036,822
0.0129,0.96,2560,143.09,1022,3934
0.00795,2,13720,260.19,985,825
0.00778,6,17360,80.99,1059,580
0.0141,1.524,11097,273.93,1620.4,1779.2
0.01,4.966,10000,292.59,4277,1150
0.01,2.5,3011,86.42,459,1028
0.00581,1,13720,76.41,1499,2721
0.01,2,18000,140.79,776,1183
0.00803,3,11760,259.3,1015,628
0.008,1.6,14700,330.83,3978,1439
0.0134,3.658,8660,255.08,2034.8,1351.9
0.01,4.966,16000,325.23,4108,987
0.00999,0.6,1422,55.19,458,3445
0.0151,3.178,6463,233.27,2230,1619
0.008,3.49,14710,131.8,999,778
0.01105,1,9800,281.01,962,1765
0.008,1.765,108,62.24,100,230
0.01,1.25,3344,125.02,984,2982
0.01,2,8000,186.31,580,1208
0.01,1.5,2609,128.72,1099,2516
0.0134,3.658,17278,306.95,2040,1002.3
0.00932,3.048,11135.1,258.42,1033.4,698.59
0.01001,3,13720,311.5,791,479
0.01,4.966,13720,237.21,4605,1670
0.0082,5.34,9800,199.93,1010,534
0.01,2,14000,124.84,1825,2420
0.01,1,15690,94.37,365,1504
0.00585,6,17660,220.04,3305.6,802
0.00607,0.79,12750,209.1,2708,3206
