m.1,kPa,kg m-2s-1,Â°C,m,kW m-2
6,6860,1010,219.9,0.01075,611
3.12,1020,778,136.2,0.00993,913
6,6860,1499,159.37,0.00585,580
1.57,9800,3185,178.58,0.008,2876
3.658,6964,2834,227.15,0.00922,1434.1
3,11760,3314,117.09,0.00578,1791
6,13720,999,280.49,0.00803,262
3.8,17660,827.8,160.44,0.0104,714
6,9810,2025,272.94,0.0078,430
3,6963,588,114.83,0.00998,1007
1,5880,1499,140.32,0.00581,2983
1.524,11029,1627.2,283.67,0.0141,1605.7
3,18000,2249,338.23,0.01001,799
0.8,9800,4991,271.87,0.00384,2543
2.5,2687,315,51.99,0.01,758
4.877,6893,2779.8,89.48,0.0102,1832.8
1.57,9800,1001,290.97,0.008,1040
3,19610,1052,261.66,0.01001,682
2.007,7030,1012,277.07,0.00935,1350
3.8,11760,1940,294.81,0.0104,709
0.6,2903,500,67.93,0.00999,3904
0.79,7850,2209,231.91,0.00607,2796
3,9810,4000,246.66,0.00801,1515
0.98,9829,3461,271.33,0.007,2576
3,7000,1658,266.82,0.01001,1130
1.84,15169,1339.2,257.78,0.0095,1110.56
1,2716,369,61.49,0.01,2014
2,12000,845,108.66,0.01,1559
6,13730,1001,215.21,0.0078,350
3,9800,1460,278.89,0.00803,732
2.75,3491,911,55.69,0.0131,2007
3,9810,500,219.14,0.008,564
6,14710,3359,280.73,0.00585,571
4,15690,1010,58.09,0.01075,1026
1.65,17650,4522,290.36,0.00795,2581
1.65,9800,4587,255.72,0.0078,2267
0.4,969,1515.1,26.05,0.008,5955.9
3,3109,672,45.63,0.0131,1471
6,13720,1000,73.53,0.0082,583
1.829,13790,2051.6,276.51,0.0113,1444.8
5.22,6790,671,236.09,0.015,722
1.57,17700,501,93.96,0.008,966
2,17650,1001,301.11,0.0108,719
1.57,14710,2722,220.33,0.00802,2350
0.386,200,300,80.21,0.0048,1174
1,6670,1057,171.41,0.00785,2770
3,9810,1000,192.81,0.00801,886
1.75,6979,5212,272.15,0.008,2245
3.12,2138,522,51.66,0.00394,419
3,6860,1001,100.04,0.0108,1566
4.966,17650,5345,338.47,0.01,1214
6,17650,1539,301.67,0.0151,619
2.5,2716,315,52.88,0.01,759
1,7944,959,126.23,0.00998,2891
4.016,6463,1100,266.8,0.0151,919
4,19610,4951,157.21,0.00585,2107
4,5880,4972,98.24,0.00585,2210
1,7100,1760.7,85.54,0.00601,3412
6,9810,2005,244.55,0.0078,520
0.864,7030,675,278.6,0.01077,2330
0.991,12407,1619.1,243.86,0.0141,2649.9
3,11760,989,238.96,0.0108,832
4.966,11760,1772,221.62,0.01,812
1,6770,2010,200.74,0.00785,3080
1.75,1657,867,45.77,0.0131,2462
0.778,7840,1581,271.2,0.00807,2460
1.5,1991,821,42.67,0.0131,2986
0.6,108,100,31.63,0.008,616
3,13730,1000,320.91,0.00801,460
1,17650,2017,280.98,0.0108,2219
1.57,7850,1001,275.19,0.008,1320
1.44,294,400,39,0.012,1485
1.219,192,298.3,89.07,0.0093,837
3,9810,1001,204.95,0.00799,843
4,13970,4028.9,326.9,0.00811,847
1,15690,1499,219.28,0.00581,1756
3.05,6870,2011.1,250.66,0.00925,1315
2.23,12750,1614,178.49,0.008,1409
6,9800,1582,299.79,0.011,401
6,9800,1023,259.82,0.0151,611
0.79,7850,995,124.7,0.008,2950
5.03,9800,1001,141.19,0.008,626
1,6860,2000,145.16,0.00801,3360
2.74,6870,2655.6,247.34,0.0126,1874
5.34,11760,1010,270.44,0.0082,322
1.75,2089,796,41.26,0.0131,2466
0.96,2442,1712,122.06,0.00996,4216
0.98,9829,2344,284.68,0.007,2251
2,19610,1493,259.99,0.00578,893
4,13720,2801,300.45,0.01075,837
6,7010,2998.6,276.88,0.00798,692
6,6860,2004,109.07,0.00803,1010
1.65,9800,3436,286.88,0.00782,1570
1,2971,991,208.19,0.008,2424
6,11760,2773,260.33,0.01075,801
1,7100,2020.1,91.74,0.00601,3655
1.57,7850,3239,229.97,0.008,2403
3.66,6870,4000,254.98,0.00921,1505
2,14000,1211,115.81,0.01,1786
1,3040,281,43.74,0.01,1564
1.727,7170,2025,211.3,0.01146,2650
3.658,1725,2032.4,145.58,0.0134,1842.9
5,6990,4996.9,185.93,0.00811,1812
4.966,19610,2704,263.12,0.01001,1094
1,308,199,25.52,0.006,599
4.966,12000,6272,225.27,0.01,2069
3,9810,2000,177.53,0.00801,1391
1.57,17700,974,272.8,0.008,878
2,1000,917,93.03,0.01,1511
2,15690,867,197.3,0.01,1107
1,9810,2002,163.23,0.00799,3240
0.5,11760,4444,95.89,0.00399,8113
2,14000,1685,118.43,0.01,2295
1.75,3011,791,105.92,0.01,1999
2,12000,1051,117.7,0.01,1759
1,9810,2000,143.17,0.00801,3270
3.66,6870,1383.3,247.76,0.0126,1150
0.6,1844,869,83.21,0.00999,4504
1,6860,2000,135.07,0.00801,3590
3,19610,498,301.73,0.0108,317
2.511,9630,6460.1,282.25,0.00545,1761.4
3,6860,1005,255.28,0.00803,843
2.08,3423,457,98.82,0.00776,943
3.8,17650,2700,317.11,0.0074,709
4,15690,3318,219.28,0.00585,1131
3.66,16000,2504.2,246.28,0.00811,1100
1,9810,2000,77.85,0.00801,4140
1,13720,796,190.14,0.01,1873
1.8,13790,1356,301.5,0.0105,946
2,14000,2405,129.58,0.01,2976
1.008,10100,4000,222.09,0.00775,3520
4,5880,3328,99.91,0.00585,1674
3.49,14710,999,305.27,0.008,394
1.73,6870,4138.9,219.14,0.00951,2580
1.5,3040,1485,68.88,0.00393,1833
2,7840,2004,139.9,0.00795,2302
4.966,19610,643,345.78,0.01001,176
6,17650,1999,281.97,0.00803,520
4.966,19610,809,262.71,0.01001,367
0.914,10343,1356,217.99,0.0128,2713
0.78,7850,1599,136.72,0.008,3683
0.792,9800,4003,214.19,0.00607,3761
1.5,2403,298,29.34,0.0131,1497
3.8,19610,769,152.05,0.0104,709
0.78,9800,4988,264.89,0.008,3318
1,13720,2014,281.66,0.00805,1721
1.57,9800,5006,220.14,0.008,3225
3,9800,3335,37.4,0.00578,2221
1,13730,4000,282.7,0.00796,2890
4.017,4992,2240,246.18,0.0151,1482
7,17650,1008,117.13,0.0078,447
0.8,9800,3912,234.46,0.00384,2699
4,15690,3318,322.06,0.00585,611
1.57,7850,1053,163.09,0.008,1901
0.61,116,119.3,71.46,0.0093,730
5.34,19610,1500,332.84,0.0082,339
2,13720,1495,57.42,0.00795,2058
5.37,13720,1505,137.89,0.0082,752
0.91,10343,2698,149.87,0.00622,3918
10.94,13720,1508,197.8,0.00805,322
6,11760,5003,259.3,0.00585,940
3,14710,1493,179.46,0.00578,790
1,14808,3451.1,292.24,0.008,2540.6
5.34,19610,1010,302.85,0.0082,296
3.048,7067.1,957.5,260.18,0.00932,886.478
4,15690,2749,300.86,0.01075,962
5.34,17650,1010,260.24,0.0082,361
2,9800,5019,97.83,0.00578,3605
5,11760,2039,279.51,0.01075,664
1.04,2138,939,60.27,0.00394,1771
3.8,11790,608.3,170.17,0.0104,710
3.66,13990,506.7,236.04,0.00811,361
1.549,7840,3958,260.22,0.00384,1580
0.78,7850,1594,148.91,0.008,3567
3,14710,1000,300.05,0.00787,486
3.66,9980,1999.7,300.85,0.00811,632
1,17650,1499,218.17,0.00581,1775
3,5880,1996,260.68,0.0108,1407
1,13720,478,100.6,0.01,1732
0.393,490,4732,67.46,0.008,7203
1.8,9810,2805.6,232.41,0.0048,1280
6,5880,1010,260.28,0.01075,548
7,17650,2772,261.28,0.0078,677
1.2,294,300,60,0.012,1320
4,14020,2532.2,326.91,0.00811,517
3,13720,2041,300.99,0.00803,690
1.75,971,776,85.51,0.01,1515
2,9800,3176,280.43,0.00578,1280
0.243,480,4011,72.16,0.008,8439
1.75,3305,986,51.67,0.0131,2979
3,1363,877,45.66,0.0131,1496
3,13730,2000,149.97,0.00801,1400
2,3010,1998.5,133.28,0.00811,2583
1,7100,456.8,59.68,0.00785,1956
1,6860,4000,83.1,0.00796,6660
3.8,14710,2211.1,299.5,0.0104,744
3,5010,1254.8,253.59,0.00811,984
1,904,99,70.62,0.008,435
0.91,10343,2685,207.13,0.00622,3309
3.658,15642,2044.2,276.77,0.0134,1084.6
1.75,2932,711,45.57,0.0131,2422
6,12750,2190,310.68,0.011,447
1.002,9810,502,63.7,0.00801,1870
5,9800,5003,178.58,0.00585,1395
3,11760,1514,217.43,0.0108,1166
4,9800,2030,298.91,0.01075,710
3,19620,1000,320.74,0.0108,484
3.12,785,744,127.58,0.00776,577
3,9900,4000,224.36,0.00782,1696
2.08,1314,640,119.58,0.00776,1000
0.6,216,246,42.01,0.0101,1414
1,6860,2013,149.13,0.008,3340
3,13630,1027,126.67,0.00781,958
2,10010,1250.9,300.91,0.00811,878
2,13720,3441,36.94,0.00578,3384
3,13970,3018.6,326.9,0.00811,739
2,12000,406,103.18,0.01,949
2,8000,5025,223.95,0.01,2753
2,17650,3441,97.06,0.00578,3198
1.5,6963,275,91.76,0.00998,1036
6,13930,1982,256.11,0.00771,520
2,17650,1001,280.98,0.0108,817
6,7160,3979,95.09,0.00778,1680
1.5,3040,1748,86.78,0.00393,2076
3.8,19620,2219.4,268.19,0.0104,1100
2,17650,1083,280.39,0.0108,864
0.79,4900,983,195,0.008,3126
0.991,11029,2034,245.97,0.0141,2889.6
7,17650,1502,322.14,0.0078,256
2,11760,397,98.04,0.01,930
0.778,7840,2205,123.88,0.00807,4600
1.57,12750,2195,249.92,0.008,1636
1,6860,1993,241.16,0.0108,2936
1.73,6870,2130.6,174.71,0.00951,2618
2,18000,721,150.68,0.01,1062
0.393,1510,4810,78.04,0.008,8670
1,6860,1523,119.03,0.0108,3721
1.829,10363,682.1,252.05,0.0113,1072.6
3.66,16000,1002.9,247.77,0.00811,538
2,1285,756,44.2,0.0131,2034
1.5,7100,3580,66.87,0.00393,3120
2,5880,1495,199.35,0.0108,2221
1,9710,2004,188.65,0.00785,2900
0.393,2620,4682,107.72,0.008,8687
2,11760,3441,238.96,0.00578,1559
0.79,14700,7462,290.87,0.00607,4525
0.78,2940,3260,212.21,0.008,4238
5,19610,3359,301.73,0.00585,694
2,7840,1493,198.59,0.00578,1354
2.438,6893,2779.8,127.46,0.0102,2807.6
0.393,1520,4870,105.73,0.008,7586
5.03,14700,2709,240.71,0.008,886
3,11760,3314,279.51,0.00578,914
3.658,8673,2035.8,233.77,0.0134,1467.9
6,5880,499,200.91,0.01075,411
2.5,2383,478,85.55,0.01,1039
3.048,18029.8,4242.3,298.45,0.00932,1898.424
1,405,99,59.78,0.006,318
6,9810,4008,264.77,0.0078,970
4.966,14000,3717,235.26,0.01,1392
2,14710,1493,117.56,0.00578,1354
6,12750,980,188.79,0.011,532
2.6,11790,4000,255.22,0.0051,1175
5.22,6750,674,238.83,0.015,719
2,13720,835,107.05,0.01,1465
2,19610,619,108.63,0.01,912
0.96,1785,1095,112.13,0.00996,3526
4,7840,4972,97.76,0.00585,2181
1,6860,503,138.13,0.008,1990
1.57,14700,3978,311.31,0.008,1773
3,9810,500,160.22,0.00801,616
2.08,1687,531,115.32,0.00776,967
3,15690,995,280.71,0.0108,675
1.57,7850,3239,250.07,0.008,2153
2,17700,4979,341.92,0.008,1755
2,1765,433,34.73,0.0131,1463
0.6,2540,416,54.39,0.00999,3448
2,13720,2004,197.86,0.00795,1721
3.12,2687,846,57.74,0.00394,645
3.8,9800,5529,293.89,0.0074,1174
1.84,15169,4117.5,286.11,0.0095,2284.22
0.79,7850,2199,285.09,0.00607,2206
1,12000,462,101.99,0.01,1887
2.6,14710,1426,275.6,0.0077,755
1.6,14700,3202,301.07,0.008,1556
3,6963,1892,132.78,0.00998,2019
1,14710,1499,218.78,0.00581,1718
0.78,14700,1597,321.25,0.008,1257
0.318,13720,4264,302.96,0.00475,4005
1.44,294,500,60,0.012,1650
2,1138,776,41.72,0.0131,2024
0.68,101.3,140.7,27.8,0.006,591
1,667,538,69.28,0.01,1980
1.73,6870,4055.6,214.97,0.00951,2710
1.93,6895,1925.5,73.96,0.0128,3375.4
5,6860,1499,260.16,0.00585,497
3,9810,1033,218.26,0.00781,845
3.048,6964,5491.8,234.45,0.00953,2063.1
1,15690,917,120.39,0.01,2699
2.08,726,620,83.07,0.00993,1093
3,6860,1001,140.24,0.0108,1435
0.99,6860,1007,220.99,0.008,2160
1,9810,1001,143.17,0.00799,2470
3,1275,879,44.78,0.0131,1488
1.57,7840,1612,265.05,0.00802,1600
0.991,100,271.8,21.08,0.004,568
5.34,11760,2299,298.8,0.0082,490
6,16010,1504.8,247,0.00798,467
2,12000,1575,123.87,0.01,2176
2,9800,2004,158.26,0.00795,1965
6,14710,1418,239.72,0.0151,703
2,3040,1100,39.43,0.01,2516
1.5,5100,3287.6,70.4,0.00393,3145
6,9800,988,249.71,0.011,472
4.966,10000,2638,215.43,0.01,1164
2,10000,3325,220.06,0.01,2408
3,11760,2014,281.64,0.00803,839
3.5,4005,4035,176.87,0.008,1966
2,9800,973,113.55,0.01,1782
2.23,17700,1620,260.27,0.008,1062
3.49,14710,2004,256.02,0.008,845
0.914,10343,1912,276.49,0.0128,2217.7
3.8,9810,894.4,218.26,0.0104,756
1,12000,1411,132.86,0.01,3325
3,11760,2623,225.56,0.01001,1444
4.877,6645,1322.2,241.94,0.0126,933.1
0.79,14700,2708,214.26,0.00607,3200
1,7010,1002.3,275.72,0.00811,2119
3,13730,501,192.73,0.00801,474
6,13720,3380,178.46,0.00585,848
5.34,19610,1500,198.14,0.0082,668
4,19610,1499,176.56,0.00585,673
1,3040,1097,56.91,0.00785,3678
1,13720,1507,260.19,0.00805,1732
0.35,2080,1909.9,43.5,0.01,7330
2,14010,1003.6,325.8,0.00811,581
1.5,6963,2582,146.16,0.00998,3488
1.57,14700,4973,312.16,0.008,2127
1.6,14700,3191,224.43,0.008,2577
1.93,6895,2766.2,227.89,0.0128,2407
3,9810,3987,283,0.00801,1334
1.57,7850,1601,154.97,0.008,2340
2,13720,1511,178.92,0.0108,1756
1,17650,5030,260.24,0.00581,4025
3.8,19610,2283,342.82,0.0104,709
0.6,1775,1149,96.18,0.00999,4876
0.25,6860,1504,99.09,0.00782,7937
3.5,3008,3023,142.14,0.008,1734
0.393,1930,4795,121.01,0.008,7650
3,17650,1120,217.06,0.00785,733
2,13720,1493,117.76,0.00578,1386
3.8,17650,1286,238.79,0.0104,744
1,9810,4000,177.53,0.00796,4720
3,14710,995,280.73,0.0108,669
1.57,7850,1001,163.09,0.008,1849
1.75,9971,6380,274.14,0.008,2411
1.57,4900,4005,199.93,0.008,3220
1,13730,1997,139.87,0.008,3590
5,9800,1010,298.91,0.01075,433
4.966,18000,3119,336.66,0.01,730
3,4980,1500.7,163.55,0.00811,1456
6,9800,2757,303.79,0.0082,517
5.37,14710,1500,300.05,0.0082,409
1,14710,3353,198.86,0.00581,3635
3,12000,1254.4,314.27,0.00811,484
6,11760,995,259.3,0.01075,387
3,7840,1493,280.09,0.00578,696
1.57,7850,1537,285.09,0.008,1437
6,19610,992,301.17,0.01075,318
3,14710,5029,260.17,0.00578,1660
3,15690,4997,260.3,0.00578,1782
1,5880,3353,159.44,0.00581,3712
1.5,1961,1244,129.86,0.01,2528
0.6,883,709,75.55,0.00999,3903
1.57,4900,1595,130.43,0.008,2840
2,11760,4100,229.69,0.01,2797
4,6860,3328,180.08,0.00585,1300
0.99,6860,1012,164.23,0.008,2500
1,2932,952,124.16,0.01,3479
1,204,198,38.72,0.006,551
5.34,15690,1999,331.28,0.0082,361
5.03,14700,3207,263.39,0.008,910
2.54,17700,1606,237.74,0.008,1026
3,9610,4015,257.71,0.00781,1505
3.8,17650,3359,276.8,0.0104,1465
3.66,10446,6495,265.67,0.0112,2050
15,17650,1986,322.1,0.00805,180
0.25,11760,1990,178.65,0.00782,6422
0.6,314,141,39.83,0.0101,1187
3,11760,1996,319.48,0.0108,746
1,13720,1499,219.33,0.00581,1711
3,17550,1984,259.36,0.00781,1039
6,17650,519,198.62,0.0151,427
0.68,101.3,74.2,28.5,0.006,357
1.6,14700,3994,270.51,0.008,2420
1.75,10085,5186,234.83,0.008,2882
3,7850,1994.4,259.51,0.0108,1350
1,16000,792,194.61,0.01,1686
2.51,2940,996,191.99,0.008,1139
3,15690,1493,138.63,0.00578,893
10.94,17650,2036,302.2,0.00805,291
3,13730,2000,119.76,0.00796,1573
3.8,19610,3303,249.64,0.0104,1721
3.66,18030,1517.2,256.96,0.00811,716
3.048,7274,4124.3,249.14,0.00932,1853.659
4,11760,1992,319.48,0.00803,430
5.34,19610,1500,117.7,0.0082,846
3,9800,1162,207.76,0.01001,1085
3,7840,5029,240.96,0.00578,1861
2.456,5070,1510,198.46,0.0152,2106
1.93,5270,1356,205.02,0.0128,2362
3,17650,4060,299.63,0.00801,1623
2,2667,1887,155.93,0.01,2498
1,1128,540,59.25,0.00601,1721
3,2990,3002.8,223.83,0.00811,1453
0.79,9800,2708,143.07,0.00607,4134
1.2,7850,3916.7,275,0.0068,2186
1,1804,279,55.76,0.01,1519
0.76,6902,1451,111.96,0.0106,4543
1.57,7850,1606,275.19,0.008,1540
3,13730,2000,208.07,0.00801,1122
6,9800,1528,158.26,0.01075,840
0.3,101.3,143.2,13,0.006,1336
1,6860,2002,184.64,0.00799,3150
2,11760,2004,56.56,0.00795,2640
1.75,3334,332,32.33,0.0131,1459
1,14710,1520,239.29,0.0108,2136
1,14000,2107,199.19,0.01,3392
3,17550,2000,336.13,0.008,653
3,15690,5029,157.89,0.00578,2605
3.66,3010,1009.6,223.78,0.00811,735
1,13730,1012,287.7,0.00799,1300
3.658,15594,2043.4,320.28,0.0134,832.4
0.792,9800,2659,289.86,0.00607,2010
3,13720,5274,240.86,0.01001,2720
2.1,13720,1522,271.98,0.0077,930
4.966,15690,2897,326.93,0.01,674
10.94,9800,1516,218.1,0.00805,295
0.96,912,183,40.41,0.00996,1057
3,5880,4997,159.44,0.00578,2326
0.98,6992,2469,278.04,0.007,2503
6,9800,2296,269.88,0.011,715
3.49,9810,2004,244.55,0.008,998
1.57,12750,4000,291.59,0.008,1851
1.524,11029,2028.6,297.58,0.0141,1504.7
1,13730,2008,214.32,0.00799,2740
2.25,941,528,72.66,0.01,1036
6,13720,1997,325.62,0.00803,295
0.56,6941,2411,261.21,0.007,3510
0.96,1491,411,83.6,0.0129,2432
1,17550,1987,287.21,0.00785,1900
1.57,9800,996,207.09,0.008,1480
0.78,7850,3912,242.12,0.008,3328
2.75,1549,1157,53.3,0.0131,2030
2,16000,2045,150.42,0.01,2500
3,13730,2000,83.46,0.00801,1714
4.966,19610,774,346.7,0.01001,200
3,9810,2036,280.9,0.00781,822
0.96,2560,1022,143.09,0.0129,3934
2,13720,985,260.19,0.00795,825
6,17360,1059,80.99,0.00778,580
1.524,11097,1620.4,273.93,0.0141,1779.2
4.966,10000,4277,292.59,0.01,1150
2.5,3011,459,86.42,0.01,1028
1,13720,1499,76.41,0.00581,2721
2,18000,776,140.79,0.01,1183
3,11760,1015,259.3,0.00803,628
1.6,14700,3978,330.83,0.008,1439
3.658,8660,2034.8,255.08,0.0134,1351.9
4.966,16000,4108,325.23,0.01,987
0.6,1422,458,55.19,0.00999,3445
3.178,6463,2230,233.27,0.0151,1619
3.49,14710,999,131.8,0.008,778
1,9800,962,281.01,0.01105,1765
1.765,108,100,62.24,0.008,230
1.25,3344,984,125.02,0.01,2982
2,8000,580,186.31,0.01,1208
1.5,2609,1099,128.72,0.01,2516
3.658,17278,2040,306.95,0.0134,1002.3
3.048,11135.1,1033.4,258.42,0.00932,698.59
3,13720,791,311.5,0.01001,479
4.966,13720,4605,237.21,0.01,1670
5.34,9800,1010,199.93,0.0082,534
2,14000,1825,124.84,0.01,2420
1,15690,365,94.37,0.01,1504
6,17660,3305.6,220.04,0.00585,802
0.79,12750,2708,209.1,0.00607,3206
