d,p,t,l,m,c
0.00585,11760.0,279.51,6.0,5003.0,837.0
0.00578,13720.0,118.71,3.0,1493.0,965.0
0.008,500.0,73.97,0.243,4931.0,7580.0
0.0151,6860.0,219.9,6.0,517.0,559.0
0.0104,14710.0,196.82,3.8,3359.0,1860.0
0.01,2059.0,46.44,2.0,778.0,1760.0
0.00585,6860.0,219.9,6.0,5003.0,1045.0
0.0151,6453.0,239.76,4.018,2190.0,1393.0
0.008,9800.0,219.26,2.44,2190.0,1492.0
0.008,7850.0,184.23,1.57,3191.0,2818.0
0.00578,11760.0,197.1,2.0,3441.0,1895.0
0.01001,14000.0,242.56,3.0,2046.0,1175.0
0.00998,6963.0,103.67,3.0,275.0,507.0
0.00607,14700.0,267.47,0.79,2209.0,2113.0
0.00578,14710.0,179.46,2.0,3441.0,2260.0
0.00996,1942.0,37.72,0.96,175.0,1089.0
0.008,2990.0,148.54,1.0,3012.0,4260.0
0.0108,7850.0,280.0,3.0,1505.6,1031.0
0.00935,7140.0,250.23,2.007,2025.0,1890.0
0.00805,9800.0,260.8,10.94,1516.0,248.0
0.0108,15700.0,300.75,1.0,2738.9,2310.0
0.0082,13720.0,239.79,5.34,2015.0,651.0
0.01075,6860.0,219.9,6.0,1010.0,611.0
0.00993,1020.0,136.2,3.12,778.0,913.0
0.00585,6860.0,159.37,6.0,1499.0,580.0
0.008,9800.0,178.58,1.57,3185.0,2876.0
0.00922,6964.0,227.15,3.658,2834.0,1434.1
0.00578,11760.0,117.09,3.0,3314.0,1791.0
0.00803,13720.0,280.49,6.0,999.0,262.0
0.0104,17660.0,160.44,3.8,827.8,714.0
0.0078,9810.0,272.94,6.0,2025.0,430.0
0.00998,6963.0,114.83,3.0,588.0,1007.0
0.00581,5880.0,140.32,1.0,1499.0,2983.0
0.0141,11029.0,283.67,1.524,1627.2,1605.7
0.01001,18000.0,338.23,3.0,2249.0,799.0
0.00384,9800.0,271.87,0.8,4991.0,2543.0
0.01,2687.0,51.99,2.5,315.0,758.0
0.0102,6893.0,89.48,4.877,2779.8,1832.8
0.008,9800.0,290.97,1.57,1001.0,1040.0
0.01001,19610.0,261.66,3.0,1052.0,682.0
0.00935,7030.0,277.07,2.007,1012.0,1350.0
0.0104,11760.0,294.81,3.8,1940.0,709.0
0.00999,2903.0,67.93,0.6,500.0,3904.0
0.00607,7850.0,231.91,0.79,2209.0,2796.0
0.00801,9810.0,246.66,3.0,4000.0,1515.0
0.007,9829.0,271.33,0.98,3461.0,2576.0
0.01001,7000.0,266.82,3.0,1658.0,1130.0
0.0095,15169.0,257.78,1.84,1339.2,1110.56
0.01,2716.0,61.49,1.0,369.0,2014.0
0.01,12000.0,108.66,2.0,845.0,1559.0
0.0078,13730.0,215.21,6.0,1001.0,350.0
0.00803,9800.0,278.89,3.0,1460.0,732.0
0.0131,3491.0,55.69,2.75,911.0,2007.0
0.008,9810.0,219.14,3.0,500.0,564.0
0.00585,14710.0,280.73,6.0,3359.0,571.0
0.01075,15690.0,58.09,4.0,1010.0,1026.0
0.00795,17650.0,290.36,1.65,4522.0,2581.0
0.0078,9800.0,255.72,1.65,4587.0,2267.0
0.008,969.0,26.05,0.4,1515.1,5955.9
0.0131,3109.0,45.63,3.0,672.0,1471.0
0.0082,13720.0,73.53,6.0,1000.0,583.0
0.0113,13790.0,276.51,1.829,2051.6,1444.8
0.015,6790.0,236.09,5.22,671.0,722.0
0.008,17700.0,93.96,1.57,501.0,966.0
0.0108,17650.0,301.11,2.0,1001.0,719.0
0.00802,14710.0,220.33,1.57,2722.0,2350.0
0.0048,200.0,80.21,0.386,300.0,1174.0
0.00785,6670.0,171.41,1.0,1057.0,2770.0
0.00801,9810.0,192.81,3.0,1000.0,886.0
0.008,6979.0,272.15,1.75,5212.0,2245.0
0.00394,2138.0,51.66,3.12,522.0,419.0
0.0108,6860.0,100.04,3.0,1001.0,1566.0
0.01,17650.0,338.47,4.966,5345.0,1214.0
0.0151,17650.0,301.67,6.0,1539.0,619.0
0.01,2716.0,52.88,2.5,315.0,759.0
0.00998,7944.0,126.23,1.0,959.0,2891.0
0.0151,6463.0,266.8,4.016,1100.0,919.0
0.00585,19610.0,157.21,4.0,4951.0,2107.0
0.00585,5880.0,98.24,4.0,4972.0,2210.0
0.00601,7100.0,85.54,1.0,1760.7,3412.0
0.0078,9810.0,244.55,6.0,2005.0,520.0
0.01077,7030.0,278.6,0.864,675.0,2330.0
0.0141,12407.0,243.86,0.991,1619.1,2649.9
0.0108,11760.0,238.96,3.0,989.0,832.0
0.01,11760.0,221.62,4.966,1772.0,812.0
0.00785,6770.0,200.74,1.0,2010.0,3080.0
0.0131,1657.0,45.77,1.75,867.0,2462.0
0.00807,7840.0,271.2,0.778,1581.0,2460.0
0.0131,1991.0,42.67,1.5,821.0,2986.0
0.008,108.0,31.63,0.6,100.0,616.0
0.00801,13730.0,320.91,3.0,1000.0,460.0
0.0108,17650.0,280.98,1.0,2017.0,2219.0
0.008,7850.0,275.19,1.57,1001.0,1320.0
0.012,294.0,39.0,1.44,400.0,1485.0
0.0093,192.0,89.07,1.219,298.3,837.0
0.00799,9810.0,204.95,3.0,1001.0,843.0
0.00811,13970.0,326.9,4.0,4028.9,847.0
0.00581,15690.0,219.28,1.0,1499.0,1756.0
0.00925,6870.0,250.66,3.05,2011.1,1315.0
0.008,12750.0,178.49,2.23,1614.0,1409.0
0.011,9800.0,299.79,6.0,1582.0,401.0
0.0151,9800.0,259.82,6.0,1023.0,611.0
0.008,7850.0,124.7,0.79,995.0,2950.0
0.008,9800.0,141.19,5.03,1001.0,626.0
0.00801,6860.0,145.16,1.0,2000.0,3360.0
0.0126,6870.0,247.34,2.74,2655.6,1874.0
0.0082,11760.0,270.44,5.34,1010.0,322.0
0.0131,2089.0,41.26,1.75,796.0,2466.0
0.00996,2442.0,122.06,0.96,1712.0,4216.0
0.007,9829.0,284.68,0.98,2344.0,2251.0
0.00578,19610.0,259.99,2.0,1493.0,893.0
0.01075,13720.0,300.45,4.0,2801.0,837.0
0.00798,7010.0,276.88,6.0,2998.6,692.0
0.00803,6860.0,109.07,6.0,2004.0,1010.0
0.00782,9800.0,286.88,1.65,3436.0,1570.0
0.008,2971.0,208.19,1.0,991.0,2424.0
0.01075,11760.0,260.33,6.0,2773.0,801.0
0.00601,7100.0,91.74,1.0,2020.1,3655.0
0.008,7850.0,229.97,1.57,3239.0,2403.0
0.00921,6870.0,254.98,3.66,4000.0,1505.0
0.01,14000.0,115.81,2.0,1211.0,1786.0
0.01,3040.0,43.74,1.0,281.0,1564.0
0.01146,7170.0,211.3,1.727,2025.0,2650.0
0.0134,1725.0,145.58,3.658,2032.4,1842.9
0.00811,6990.0,185.93,5.0,4996.9,1812.0
0.01001,19610.0,263.12,4.966,2704.0,1094.0
0.006,308.0,25.52,1.0,199.0,599.0
0.01,12000.0,225.27,4.966,6272.0,2069.0
0.00801,9810.0,177.53,3.0,2000.0,1391.0
0.008,17700.0,272.8,1.57,974.0,878.0
0.01,1000.0,93.03,2.0,917.0,1511.0
0.01,15690.0,197.3,2.0,867.0,1107.0
0.00799,9810.0,163.23,1.0,2002.0,3240.0
0.00399,11760.0,95.89,0.5,4444.0,8113.0
0.01,14000.0,118.43,2.0,1685.0,2295.0
0.01,3011.0,105.92,1.75,791.0,1999.0
0.01,12000.0,117.7,2.0,1051.0,1759.0
0.00801,9810.0,143.17,1.0,2000.0,3270.0
0.0126,6870.0,247.76,3.66,1383.3,1150.0
0.00999,1844.0,83.21,0.6,869.0,4504.0
0.00801,6860.0,135.07,1.0,2000.0,3590.0
0.0108,19610.0,301.73,3.0,498.0,317.0
0.00545,9630.0,282.25,2.511,6460.1,1761.4
0.00803,6860.0,255.28,3.0,1005.0,843.0
0.00776,3423.0,98.82,2.08,457.0,943.0
0.0074,17650.0,317.11,3.8,2700.0,709.0
0.00585,15690.0,219.28,4.0,3318.0,1131.0
0.00811,16000.0,246.28,3.66,2504.2,1100.0
0.00801,9810.0,77.85,1.0,2000.0,4140.0
0.01,13720.0,190.14,1.0,796.0,1873.0
0.0105,13790.0,301.5,1.8,1356.0,946.0
0.01,14000.0,129.58,2.0,2405.0,2976.0
0.00775,10100.0,222.09,1.008,4000.0,3520.0
0.00585,5880.0,99.91,4.0,3328.0,1674.0
0.008,14710.0,305.27,3.49,999.0,394.0
0.00951,6870.0,219.14,1.73,4138.9,2580.0
0.00393,3040.0,68.88,1.5,1485.0,1833.0
0.00795,7840.0,139.9,2.0,2004.0,2302.0
0.01001,19610.0,345.78,4.966,643.0,176.0
0.00803,17650.0,281.97,6.0,1999.0,520.0
0.01001,19610.0,262.71,4.966,809.0,367.0
0.0128,10343.0,217.99,0.914,1356.0,2713.0
0.008,7850.0,136.72,0.78,1599.0,3683.0
0.00607,9800.0,214.19,0.792,4003.0,3761.0
0.0131,2403.0,29.34,1.5,298.0,1497.0
0.0104,19610.0,152.05,3.8,769.0,709.0
0.008,9800.0,264.89,0.78,4988.0,3318.0
0.00805,13720.0,281.66,1.0,2014.0,1721.0
0.008,9800.0,220.14,1.57,5006.0,3225.0
0.00578,9800.0,37.4,3.0,3335.0,2221.0
0.00796,13730.0,282.7,1.0,4000.0,2890.0
0.0151,4992.0,246.18,4.017,2240.0,1482.0
0.0078,17650.0,117.13,7.0,1008.0,447.0
0.00384,9800.0,234.46,0.8,3912.0,2699.0
0.00585,15690.0,322.06,4.0,3318.0,611.0
0.008,7850.0,163.09,1.57,1053.0,1901.0
0.0093,116.0,71.46,0.61,119.3,730.0
0.0082,19610.0,332.84,5.34,1500.0,339.0
0.00795,13720.0,57.42,2.0,1495.0,2058.0
0.0082,13720.0,137.89,5.37,1505.0,752.0
0.00622,10343.0,149.87,0.91,2698.0,3918.0
0.00805,13720.0,197.8,10.94,1508.0,322.0
0.00585,11760.0,259.3,6.0,5003.0,940.0
0.00578,14710.0,179.46,3.0,1493.0,790.0
0.008,14808.0,292.24,1.0,3451.1,2540.6
0.0082,19610.0,302.85,5.34,1010.0,296.0
0.00932,7067.1,260.18,3.048,957.5,886.478
0.01075,15690.0,300.86,4.0,2749.0,962.0
0.0082,17650.0,260.24,5.34,1010.0,361.0
0.00578,9800.0,97.83,2.0,5019.0,3605.0
0.01075,11760.0,279.51,5.0,2039.0,664.0
0.00394,2138.0,60.27,1.04,939.0,1771.0
0.0104,11790.0,170.17,3.8,608.3,710.0
0.00811,13990.0,236.04,3.66,506.7,361.0
0.00384,7840.0,260.22,1.549,3958.0,1580.0
0.008,7850.0,148.91,0.78,1594.0,3567.0
0.00787,14710.0,300.05,3.0,1000.0,486.0
0.00811,9980.0,300.85,3.66,1999.7,632.0
0.00581,17650.0,218.17,1.0,1499.0,1775.0
0.0108,5880.0,260.68,3.0,1996.0,1407.0
0.01,13720.0,100.6,1.0,478.0,1732.0
0.008,490.0,67.46,0.393,4732.0,7203.0
0.0048,9810.0,232.41,1.8,2805.6,1280.0
0.01075,5880.0,260.28,6.0,1010.0,548.0
0.0078,17650.0,261.28,7.0,2772.0,677.0
0.012,294.0,60.0,1.2,300.0,1320.0
0.00811,14020.0,326.91,4.0,2532.2,517.0
0.00803,13720.0,300.99,3.0,2041.0,690.0
0.01,971.0,85.51,1.75,776.0,1515.0
0.00578,9800.0,280.43,2.0,3176.0,1280.0
0.008,480.0,72.16,0.243,4011.0,8439.0
0.0131,3305.0,51.67,1.75,986.0,2979.0
0.0131,1363.0,45.66,3.0,877.0,1496.0
0.00801,13730.0,149.97,3.0,2000.0,1400.0
0.00811,3010.0,133.28,2.0,1998.5,2583.0
0.00785,7100.0,59.68,1.0,456.8,1956.0
0.00796,6860.0,83.1,1.0,4000.0,6660.0
0.0104,14710.0,299.5,3.8,2211.1,744.0
0.00811,5010.0,253.59,3.0,1254.8,984.0
0.008,904.0,70.62,1.0,99.0,435.0
0.00622,10343.0,207.13,0.91,2685.0,3309.0
0.0134,15642.0,276.77,3.658,2044.2,1084.6
0.0131,2932.0,45.57,1.75,711.0,2422.0
0.011,12750.0,310.68,6.0,2190.0,447.0
0.00801,9810.0,63.7,1.002,502.0,1870.0
0.00585,9800.0,178.58,5.0,5003.0,1395.0
0.0108,11760.0,217.43,3.0,1514.0,1166.0
0.01075,9800.0,298.91,4.0,2030.0,710.0
0.0108,19620.0,320.74,3.0,1000.0,484.0
0.00776,785.0,127.58,3.12,744.0,577.0
0.00782,9900.0,224.36,3.0,4000.0,1696.0
0.00776,1314.0,119.58,2.08,640.0,1000.0
0.0101,216.0,42.01,0.6,246.0,1414.0
0.008,6860.0,149.13,1.0,2013.0,3340.0
0.00781,13630.0,126.67,3.0,1027.0,958.0
0.00811,10010.0,300.91,2.0,1250.9,878.0
0.00578,13720.0,36.94,2.0,3441.0,3384.0
0.00811,13970.0,326.9,3.0,3018.6,739.0
0.01,12000.0,103.18,2.0,406.0,949.0
0.01,8000.0,223.95,2.0,5025.0,2753.0
0.00578,17650.0,97.06,2.0,3441.0,3198.0
0.00998,6963.0,91.76,1.5,275.0,1036.0
0.00771,13930.0,256.11,6.0,1982.0,520.0
0.0108,17650.0,280.98,2.0,1001.0,817.0
0.00778,7160.0,95.09,6.0,3979.0,1680.0
0.00393,3040.0,86.78,1.5,1748.0,2076.0
0.0104,19620.0,268.19,3.8,2219.4,1100.0
0.0108,17650.0,280.39,2.0,1083.0,864.0
0.008,4900.0,195.0,0.79,983.0,3126.0
0.0141,11029.0,245.97,0.991,2034.0,2889.6
0.0078,17650.0,322.14,7.0,1502.0,256.0
0.01,11760.0,98.04,2.0,397.0,930.0
0.00807,7840.0,123.88,0.778,2205.0,4600.0
0.008,12750.0,249.92,1.57,2195.0,1636.0
0.0108,6860.0,241.16,1.0,1993.0,2936.0
0.00951,6870.0,174.71,1.73,2130.6,2618.0
0.01,18000.0,150.68,2.0,721.0,1062.0
0.008,1510.0,78.04,0.393,4810.0,8670.0
0.0108,6860.0,119.03,1.0,1523.0,3721.0
0.0113,10363.0,252.05,1.829,682.1,1072.6
0.00811,16000.0,247.77,3.66,1002.9,538.0
0.0131,1285.0,44.2,2.0,756.0,2034.0
0.00393,7100.0,66.87,1.5,3580.0,3120.0
0.0108,5880.0,199.35,2.0,1495.0,2221.0
0.00785,9710.0,188.65,1.0,2004.0,2900.0
0.008,2620.0,107.72,0.393,4682.0,8687.0
0.00578,11760.0,238.96,2.0,3441.0,1559.0
0.00607,14700.0,290.87,0.79,7462.0,4525.0
0.008,2940.0,212.21,0.78,3260.0,4238.0
0.00585,19610.0,301.73,5.0,3359.0,694.0
0.00578,7840.0,198.59,2.0,1493.0,1354.0
0.0102,6893.0,127.46,2.438,2779.8,2807.6
0.008,1520.0,105.73,0.393,4870.0,7586.0
0.008,14700.0,240.71,5.03,2709.0,886.0
0.00578,11760.0,279.51,3.0,3314.0,914.0
0.0134,8673.0,233.77,3.658,2035.8,1467.9
0.01075,5880.0,200.91,6.0,499.0,411.0
0.01,2383.0,85.55,2.5,478.0,1039.0
0.00932,18029.8,298.45,3.048,4242.3,1898.424
0.006,405.0,59.78,1.0,99.0,318.0
0.0078,9810.0,264.77,6.0,4008.0,970.0
0.01,14000.0,235.26,4.966,3717.0,1392.0
0.00578,14710.0,117.56,2.0,1493.0,1354.0
0.011,12750.0,188.79,6.0,980.0,532.0
0.0051,11790.0,255.22,2.6,4000.0,1175.0
0.015,6750.0,238.83,5.22,674.0,719.0
0.01,13720.0,107.05,2.0,835.0,1465.0
0.01,19610.0,108.63,2.0,619.0,912.0
0.00996,1785.0,112.13,0.96,1095.0,3526.0
0.00585,7840.0,97.76,4.0,4972.0,2181.0
0.008,6860.0,138.13,1.0,503.0,1990.0
0.008,14700.0,311.31,1.57,3978.0,1773.0
0.00801,9810.0,160.22,3.0,500.0,616.0
0.00776,1687.0,115.32,2.08,531.0,967.0
0.0108,15690.0,280.71,3.0,995.0,675.0
0.008,7850.0,250.07,1.57,3239.0,2153.0
0.008,17700.0,341.92,2.0,4979.0,1755.0
0.0131,1765.0,34.73,2.0,433.0,1463.0
0.00999,2540.0,54.39,0.6,416.0,3448.0
0.00795,13720.0,197.86,2.0,2004.0,1721.0
0.00394,2687.0,57.74,3.12,846.0,645.0
0.0074,9800.0,293.89,3.8,5529.0,1174.0
0.0095,15169.0,286.11,1.84,4117.5,2284.22
0.00607,7850.0,285.09,0.79,2199.0,2206.0
0.01,12000.0,101.99,1.0,462.0,1887.0
0.0077,14710.0,275.6,2.6,1426.0,755.0
0.008,14700.0,301.07,1.6,3202.0,1556.0
0.00998,6963.0,132.78,3.0,1892.0,2019.0
0.00581,14710.0,218.78,1.0,1499.0,1718.0
0.008,14700.0,321.25,0.78,1597.0,1257.0
0.00475,13720.0,302.96,0.318,4264.0,4005.0
0.012,294.0,60.0,1.44,500.0,1650.0
0.0131,1138.0,41.72,2.0,776.0,2024.0
0.006,101.3,27.8,0.68,140.7,591.0
0.01,667.0,69.28,1.0,538.0,1980.0
0.00951,6870.0,214.97,1.73,4055.6,2710.0
0.0128,6895.0,73.96,1.93,1925.5,3375.4
0.00585,6860.0,260.16,5.0,1499.0,497.0
0.00781,9810.0,218.26,3.0,1033.0,845.0
0.00953,6964.0,234.45,3.048,5491.8,2063.1
0.01,15690.0,120.39,1.0,917.0,2699.0
0.00993,726.0,83.07,2.08,620.0,1093.0
0.0108,6860.0,140.24,3.0,1001.0,1435.0
0.008,6860.0,220.99,0.99,1007.0,2160.0
0.00799,9810.0,143.17,1.0,1001.0,2470.0
0.0131,1275.0,44.78,3.0,879.0,1488.0
0.00802,7840.0,265.05,1.57,1612.0,1600.0
0.004,100.0,21.08,0.991,271.8,568.0
0.0082,11760.0,298.8,5.34,2299.0,490.0
0.00798,16010.0,247.0,6.0,1504.8,467.0
0.01,12000.0,123.87,2.0,1575.0,2176.0
0.00795,9800.0,158.26,2.0,2004.0,1965.0
0.0151,14710.0,239.72,6.0,1418.0,703.0
0.01,3040.0,39.43,2.0,1100.0,2516.0
0.00393,5100.0,70.4,1.5,3287.6,3145.0
0.011,9800.0,249.71,6.0,988.0,472.0
0.01,10000.0,215.43,4.966,2638.0,1164.0
0.01,10000.0,220.06,2.0,3325.0,2408.0
0.00803,11760.0,281.64,3.0,2014.0,839.0
0.008,4005.0,176.87,3.5,4035.0,1966.0
0.01,9800.0,113.55,2.0,973.0,1782.0
0.008,17700.0,260.27,2.23,1620.0,1062.0
0.008,14710.0,256.02,3.49,2004.0,845.0
0.0128,10343.0,276.49,0.914,1912.0,2217.7
